id,name,pronunciation,meaning,image,topic_id
111,squid,/skwɪd/,mực ống,,3
112,bear,/beə/,gấu,,4
113,polar bear,/ˈpəʊlə beə/,gấu bắc cực,,4
114,panda,/ˈpændə/,gấu trúc,,4
115,tiger cub,/ˈtaɪgə kʌb/,hổ con,,4
116,lion,/ˈlaɪən/,sư tử,,4
117,lioness,/ˈlaɪənes/,sư tử cái,,4
118,lion cu,/ˈlaɪən kʌb/,b   sư tử con,,4
119,tiger,/ˈtaɪgə/,hổ,,4
120,tigress,/ˈtaɪɡrəs/,hổ cái,,4
121,panther,/ˈpænθə/,báo đen,,4
122,leopar,/ˈlɛpəd/,d  báo đốm,,4
123,cheeta,/ˈʧiːtə/,h  báo ghê.ta,,4
124,gazelle,/ɡəˈzel/,linh dương,,4
125,rhinocero,/raɪˈnɒsərəs/,s  tê giác,,4
126,fox,/fɒks/,cáo,,4
127,fawn,/fɔːn/,nai con,,4
128,reindeer,/ˈreɪndɪə/,tuần lộc,,4
129,elk,/ɛlk/,nai sừng tấm,,4
130,moose,/muːs/,nai sừng tấm,,4
131,ra,/ræt/,t  chuột,,4
132,elephant,/ˈɛlɪfənt/,voi,,4
133,wolf,/wʊlf/,sói,,4
134,deer,/dɪə/,nai,,4
135,doe,/dəʊ/,con nai cái,,4
136,giraffe,/ʤɪˈrɑːf/,hươu cao cổ,,4
137,frog /frɒg/ ếch,/frɒg/,ếch,,4
138,snake,/sneɪk/,rắn,,4
139,alligator,/ˈælɪgeɪtə/,cá sấu,,4
140,crocodile,/ˈkrɒkədaɪl/,cá sấu,,4
141,bat,/bæt/,dơi,,4
142,gorilla,/gəˈrɪlə/,gô ri la,,4
143,giant panda,/ˈʤaɪənt ˈpændə/,gấu trúc,,4
144,boar,/bɔː/,lợn rừng,,4
145,koala,/kəʊˈɑːlə/,koala,,4
146,camel,/ˈkæməl/,lạc đà,,4
147,sloth,/sləʊθ/,con lười,,4
148,hyena/,"",haɪˈiːnə linh cẩu,,4
